1431785110.920000, /muse/acc, -3.9062562, 1000.0016, 152.344
1431785110.920000, /muse/eeg, 860.3247, 832.36005, 855.3898, 863.6147
1431785110.920000, /muse/eeg/quantization, 1, 1, 1, 1
1431785110.920000, /muse/eeg, 855.3898, 830.7151, 850.45483, 868.5496
1431785110.920000, /muse/eeg, 873.48456, 829.07007, 855.3898, 858.67975
1431785110.920000, /muse/eeg, 855.3898, 827.4251, 842.2299, 861.9697
1431785110.920000, /muse/eeg, 860.3247, 820.8452, 852.0998, 861.9697
1431785110.920000, /muse/eeg, 860.3247, 830.7151, 847.16486, 868.5496
1431785110.921000, /muse/eeg, 840.58496, 832.36005, 843.87494, 840.58496
1431785110.921000, /muse/eeg, 881.7095, 827.4251, 847.16486, 870.1946
1431785110.921000, /muse/eeg, 868.5496, 824.13513, 835.65, 860.3247
1431785110.921000, /muse/eeg, 852.0998, 825.78015, 838.94, 853.7448
1431785110.921000, /muse/eeg, 881.7095, 819.2002, 845.5199, 863.6147
1431785110.921000, /muse/eeg, 845.5199, 820.8452, 834.005, 875.1295
1431785110.921000, /muse/eeg, 845.5199, 827.4251, 837.295, 830.7151
1431785110.921000, /muse/eeg, 850.45483, 814.26526, 843.87494, 848.8099
1431785110.921000, /muse/eeg, 855.3898, 819.2002, 835.65, 868.5496
1431785110.921000, /muse/eeg, 850.45483, 824.13513, 834.005, 829.07007
1431785110.931000, /muse/acc, 0.0, 1000.0016, 148.43773
1431785110.954000, /muse/acc, 0.0, 1000.0016, 152.344
1431785110.971000, /muse/acc, 0.0, 1000.0016, 152.344
1431785110.971000, /muse/drlref, 1648387.1, 1654838.8
1431785111.001000, /muse/eeg, 842.2299, 820.8452, 834.005, 837.295
1431785111.001000, /muse/eeg/quantization, 1, 1, 1, 1
1431785111.001000, /muse/eeg, 865.25964, 824.13513, 845.5199, 848.8099
1431785111.001000, /muse/eeg, 855.3898, 819.2002, 832.36005, 861.9697
1431785111.001000, /muse/elements/alpha_relative, 0.05776149, 0.19116235, 0.25953013, 0.04473822
1431785111.001000, /muse/elements/beta_relative, 0.25239936, 0.18963303, 0.1561322, 0.27327427
1431785111.001000, /muse/elements/delta_relative, 0.38015863, 0.3793949, 0.27717555, 0.33436123
1431785111.001000, /muse/elements/gamma_relative, 0.11784322, 0.11275936, 0.11358354, 0.18217854
1431785111.001000, /muse/elements/theta_relative, 0.19183731, 0.12705038, 0.19357857, 0.16544774
1431785111.001000, /muse/elements/horseshoe, 1.0, 1.0, 1.0, 1.0
1431785111.002000, /muse/elements/is_good, 1, 1, 1, 1
1431785111.002000, /muse/elements/blink, 0
1431785111.002000, /muse/elements/jaw_clench, 0
1431785111.002000, /muse/elements/touching_forehead, 1
1431785111.002000, /muse/elements/experimental/concentration, 0.012070009
1431785111.002000, /muse/elements/experimental/mellow, 0.39728335
1431785111.002000, /muse/elements/raw_fft0, 8.272729, 13.152232, 14.594701, 14.203564, 11.674864, 11.200011, 9.062731, 6.746124, 4.8387847, 4.161264, 2.4680588, 0.8996174, -0.7356775, -4.335973, -1.1970013, -5.2187433, -4.5766325, -2.2219315, -4.6469946, -4.160694, -1.9028165, -0.040526085, 2.1903477, -2.5451627, -4.5386643, -4.30183, -4.9176393, -1.8067472, 0.9963041, -0.65735906, 1.1468538, 1.1891202, -1.016568, -0.2798705, -3.5892463, -5.76545, -4.725196, -9.398023, -9.22503, -2.4012141, -0.5015563, -5.014951, -4.7659597, -2.7281184, -3.9159043, -9.178754, -12.565657, -15.865621, -10.509343, -13.60442, -9.220355, -0.5377589, -0.002107925, -4.342409, -8.269081, -6.2864037, -6.9130244, -12.815174, -19.141144, -16.273375, -10.630716, -6.827673, -3.775408, -3.282597, -2.4431384, -2.087899, -2.5525079, -0.9775801, -0.032482382, -1.239354, 1.9598664, -2.3875515, -3.99845, -1.8099707, -3.1035185, -0.20213997, -0.74779594, -1.1552048, 4.2730265, 4.0785227, 1.9426959, 3.168197, -0.1238024, -1.9588501, -5.0438566, -7.3417354, -4.462746, -4.012721, -3.0549378, -5.3007927, -5.2744684, -1.3261515, -0.3905087, -1.9406141, -3.1833293, -3.974943, -4.186435, -5.59076, -7.7994404, 0.2131573, 0.6749472, 0.5133315, -1.5151336, -2.3483248, -2.55887, -1.7984749, -6.4799576, -5.4245095, -0.59109646, 0.2631259, 0.19492081, -3.4965322, 0.3970493, 0.18050514, -5.4951124, -6.5164027, -2.42086, -4.9398217, -9.721491, -11.348399, -17.327454, -10.796813, -3.122568, -2.8425713, -4.976574, -10.294183, -10.750601, -15.480555, -19.77045
1431785111.003000, /muse/elements/raw_fft1, -3.2349331, 3.5702927, 5.0208764, -2.750075, -4.3560076, -4.024468, -6.970426, -7.205103, -8.251144, -12.072533, -9.700091, -14.285411, -9.905142, -8.5341835, -7.989094, -10.026878, -8.081852, -13.902608, -17.86555, -11.073876, -8.880214, -9.403383, -13.148801, -8.5047, -9.588826, -9.303158, -10.467433, -12.883827, -13.330438, -11.773777, -8.666303, -11.217715, -7.904463, -4.9904113, -8.178187, -10.259007, -15.908223, -12.694894, -11.799443, -11.732001, -15.416808, -12.207608, -8.350156, -8.821859, -15.003236, -8.224831, -8.025216, -12.311113, -12.2239065, -12.401884, -14.634835, -13.017393, -14.377292, -15.848547, -18.15765, -17.466885, -16.10696, -19.137539, -25.12908, -25.084436, -18.600885, -14.107473, -10.305619, -10.56578, -8.222619, -7.423774, -7.5646625, -6.6812205, -8.042535, -5.384268, -7.719021, -5.7430553, -6.9267187, -8.964353, -6.8792844, -7.556453, -8.73919, -7.5763783, -6.8493533, -4.8992233, -6.867004, -10.102597, -4.123521, -5.993989, -4.804512, -4.393518, -6.701077, -11.011187, -13.34969, -11.010692, -9.733258, -12.386058, -13.284389, -9.586612, -10.439666, -10.6198225, -10.839896, -7.3310227, -8.617098, -9.420998, -5.9903865, -4.037439, -7.1148887, -12.905407, -12.625132, -8.328672, -11.181418, -14.347048, -11.415466, -4.122661, -2.786987, -8.302875, -12.351958, -11.447875, -9.072362, -10.341642, -5.5513463, -5.3417187, -8.978244, -6.895498, -10.59981, -16.685846, -9.292471, -9.114558, -9.132015, -9.009347, -12.95766, -11.073214, -11.618534
1431785111.003000, /muse/elements/raw_fft2, 2.3914027, 7.165425, 2.2102244, -4.8845134, -6.707899, -1.6357398, -3.6146688, -6.602038, -2.7337644, -3.1160688, -6.9394903, -5.80355, -6.4222517, -4.496693, -6.048571, -9.821397, -2.9950976, -6.4699616, -11.766532, -10.984673, -14.713485, -14.516541, -10.619278, -13.860864, -14.258652, -12.66896, -10.392292, -14.660876, -13.709113, -12.534999, -10.906338, -10.943229, -11.460725, -11.591278, -10.493745, -18.635267, -9.297694, -4.909207, -10.533159, -11.17948, -15.820467, -16.657616, -6.9852433, -9.575927, -19.038534, -15.021521, -9.0120325, -9.193312, -9.602051, -9.986811, -12.513681, -13.851012, -10.655789, -10.555116, -11.103561, -15.574892, -19.146889, -18.583035, -23.611692, -21.884722, -18.953766, -24.557716, -23.324743, -16.412663, -13.509374, -9.156336, -10.600492, -6.9113092, -11.851473, -22.042658, -14.721725, -15.803173, -12.327946, -12.675442, -9.016665, -9.6791525, -10.440918, -10.91575, -6.920899, -3.3244755, -7.161898, -12.432882, -11.870506, -11.314831, -11.270162, -12.128086, -11.121802, -16.312494, -15.931803, -16.813946, -7.8965225, -9.350349, -13.462328, -12.695717, -11.9735365, -11.244707, -13.99147, -10.552906, -9.253211, -11.630255, -10.791916, -10.435558, -12.487709, -11.174667, -13.282348, -11.313167, -13.449097, -22.451593, -19.149158, -18.309265, -12.760969, -14.763843, -12.566684, -10.903811, -14.275012, -16.577972, -7.685297, -9.169035, -17.043394, -13.793325, -17.994211, -19.538494, -13.361466, -15.22947, -15.832899, -17.89145, -20.370167, -21.342236, -27.906475
1431785111.003000, /muse/elements/raw_fft3, 8.016339, 12.952341, 13.656392, 13.052372, 11.533989, 10.315153, 8.682182, 8.043136, 5.404167, 3.6438825, 2.9179788, 0.90587157, -1.8735385, -2.7422028, -3.007241, -5.454919, -1.4139501, -6.7701187, -6.2273707, -1.7159252, -0.95632505, -4.136181, -6.444477, -4.4159727, -1.718488, -3.1418846, -2.3794844, -0.8888034, -4.363423, -6.227694, -3.9564693, -4.005802, -4.8829556, -9.023557, -12.162519, -9.996599, -4.743542, -1.6672513, -4.812304, -4.7937236, -5.612341, -7.0045533, -1.0726426, -2.8806207, -3.7865546, -6.6186423, -3.7863076, -6.0441813, -11.800578, -5.4542303, -6.3837566, -7.8463984, -9.07923, -11.5594635, -13.94452, -10.925335, -15.346766, -19.397816, -20.276712, -20.851116, -14.129716, -10.556207, -5.9638476, -8.303456, -8.346643, -5.722614, -1.7164809, -7.0885653, -6.490845, -6.631928, -11.351852, -7.705269, -5.762129, -4.9539227, -5.0294266, -5.56965, -14.020487, -13.015058, -14.258679, -5.795303, -5.9856467, -7.1888723, -5.573669, -6.3281426, -5.2347784, -6.561372, -3.1414785, -7.3253307, -11.490723, -9.516844, -10.071439, -9.660259, -8.957803, -4.5531454, -1.948129, -8.108739, -9.739512, -9.199742, -11.276903, -9.787251, -1.3782791, -1.1527323, -9.167629, -5.61298, -1.6135075, -2.0610676, -11.31968, -8.429727, -5.8158827, -7.4981513, -9.654793, -10.552096, -7.4373364, -10.807268, -16.469664, -11.8439455, 1.1696037, -0.7320726, -11.021012, -13.851105, -20.401365, -16.43577, -8.37847, -6.658689, -10.986457, -13.198085, -15.815302, -11.99086, -11.402684
1431785111.003000, /muse/elements/low_freqs_absolute, 1.3870945, 0.7003427, 0.81636953, 1.2433981
1431785111.003000, /muse/elements/alpha_absolute, 0.39133993, 0.27721256, 0.55776316, 0.19527268
1431785111.003000, /muse/elements/beta_absolute, 1.0317898, 0.2737242, 0.33706787, 0.9811927
1431785111.003000, /muse/elements/delta_absolute, 1.2096664, 0.5749017, 0.5863303, 1.0688099
1431785111.003000, /muse/elements/gamma_absolute, 0.7010062, 0.047962792, 0.19889079, 0.80509126
1431785111.003000, /muse/elements/theta_absolute, 0.9126346, 0.09978616, 0.43043268, 0.7632548
1431785111.004000, /muse/elements/alpha_session_score, 0.18309858, 0.7837838, 1.0, 0.0
1431785111.004000, /muse/elements/beta_session_score, 0.9622642, 1.0, 0.7777778, 0.8717949
1431785111.004000, /muse/elements/delta_session_score, 0.8125, 0.73913044, 0.5263158, 0.6859504
1431785111.004000, /muse/elements/gamma_session_score, 0.58064514, 1.0, 0.9655172, 0.8648649
1431785111.004000, /muse/elements/theta_session_score, 0.7920792, 0.32258064, 0.5714286, 0.7209302
1431785111.004000, /muse/eeg, 838.94, 827.4251, 838.94, 855.3898
1431785111.004000, /muse/eeg, 868.5496, 820.8452, 847.16486, 881.7095
1431785111.004000, /muse/eeg, 866.90466, 820.8452, 837.295, 868.5496
1431785111.004000, /muse/eeg, 842.2299, 834.005, 835.65, 853.7448
1431785111.004000, /muse/eeg, 850.45483, 825.78015, 845.5199, 847.16486
1431785111.004000, /muse/eeg, 845.5199, 822.4902, 850.45483, 865.25964
1431785111.004000, /muse/eeg, 863.6147, 832.36005, 853.7448, 868.5496
1431785111.004000, /muse/eeg, 866.90466, 832.36005, 861.9697, 853.7448
1431785111.004000, /muse/eeg, 865.25964, 834.005, 852.0998, 875.1295
1431785111.004000, /muse/eeg, 866.90466, 829.07007, 853.7448, 855.3898
1431785111.004000, /muse/eeg, 835.65, 835.65, 840.58496, 866.90466
1431785111.004000, /muse/eeg, 838.94, 835.65, 847.16486, 858.67975
1431785111.004000, /muse/eeg, 865.25964, 819.2002, 857.0347, 871.8396
1431785111.004000, /muse/acc, -3.9062562, 1000.0016, 148.43773
1431785111.004000, /muse/acc, -3.9062562, 996.09534, 148.43773
1431785111.032000, /muse/acc, -3.9062562, 1000.0016, 148.43773
1431785111.057000, /muse/acc, 0.0, 996.09534, 152.344
1431785111.057000, /muse/eeg, 861.9697, 824.13513, 852.0998, 876.77454
1431785111.058000, /muse/eeg/quantization, 1, 1, 1, 1
1431785111.058000, /muse/eeg, 834.005, 819.2002, 850.45483, 855.3898
1431785111.058000, /muse/eeg, 827.4251, 820.8452, 840.58496, 850.45483
1431785111.058000, /muse/eeg, 840.58496, 815.9103, 847.16486, 852.0998
1431785111.058000, /muse/eeg, 837.295, 822.4902, 832.36005, 837.295
1431785111.058000, /muse/eeg, 835.65, 812.6203, 842.2299, 837.295
1431785111.058000, /muse/eeg, 852.0998, 814.26526, 838.94, 850.45483
1431785111.058000, /muse/eeg, 843.87494, 810.9753, 835.65, 865.25964
1431785111.058000, /muse/eeg, 835.65, 804.3954, 840.58496, 871.8396
1431785111.058000, /muse/elements/alpha_relative, 0.05370547, 0.18620495, 0.27117896, 0.042810377
1431785111.058000, /muse/elements/beta_relative, 0.21982563, 0.18826813, 0.15235457, 0.25648925
1431785111.058000, /muse/elements/delta_relative, 0.40589625, 0.38803032, 0.25982562, 0.32020378
1431785111.058000, /muse/elements/gamma_relative, 0.10940617, 0.108153395, 0.11544471, 0.16994399
1431785111.058000, /muse/elements/theta_relative, 0.21116649, 0.12934323, 0.20119616, 0.2105526
1431785111.058000, /muse/elements/horseshoe, 1.0, 1.0, 1.0, 1.0
1431785111.058000, /muse/elements/is_good, 1, 1, 1, 1
1431785111.058000, /muse/elements/blink, 0
1431785111.058000, /muse/elements/jaw_clench, 0
1431785111.058000, /muse/elements/touching_forehead, 1
1431785111.058000, /muse/elements/experimental/concentration, 0.024274696
1431785111.058000, /muse/elements/experimental/mellow, 0.38222983
1431785111.059000, /muse/elements/raw_fft0, 8.064087, 11.441722, 12.201994, 11.84207, 8.657531, 8.924231, 6.7975307, 3.68974, 1.0949504, 0.82151675, -0.9895047, -1.438749, -1.7098048, -6.0426607, -2.9939086, -7.206457, -3.8336859, -2.0950162, -5.521553, -3.8443155, -1.0547307, 0.18062711, 1.8948222, -3.8474202, -5.1856256, -5.259116, -5.6905923, -2.5588193, 0.6639625, -1.0420148, 0.21633239, 0.5298264, -1.3194263, -0.6372906, -4.1083436, -6.4499497, -5.574644, -9.961527, -10.229773, -2.007703, -0.00496303, -5.073181, -6.001506, -3.4567525, -4.1300297, -9.3237, -12.478845, -17.208319, -12.358164, -13.768567, -9.17679, -0.25688604, -0.084943086, -3.9841323, -8.438172, -6.273424, -7.3891435, -13.494699, -19.235197, -16.35407, -11.048229, -6.6932144, -3.47547, -3.5782847, -3.7203033, -2.7595665, -2.6575067, -0.69437045, -0.05158673, -1.4681879, 2.472388, -2.057766, -4.040197, -1.5875447, -2.7457135, -0.21355505, -0.32923144, -1.0451024, 4.1742053, 3.9225435, 1.4978758, 2.8751426, -0.14016114, -1.8679878, -6.1877127, -7.487887, -4.202137, -4.575327, -4.366479, -5.8756514, -5.17976, -1.8162314, -0.5800015, -1.938432, -3.322982, -4.85457, -4.2131147, -5.1321874, -7.663616, 0.16644412, 0.4212796, -0.13259046, -2.3456433, -2.4153185, -2.3792393, -1.5687513, -6.2865715, -6.1882067, -1.2413878, -0.0071221427, 0.084486805, -3.603413, 0.40223473, 0.28125298, -4.8683124, -6.353243, -2.4710674, -4.53434, -10.232806, -11.989993, -17.49369, -10.490311, -3.3044567, -3.7155187, -5.39081, -9.831576, -10.665182, -15.8114, -21.12577
