1431785129.812000, /muse/elements/raw_fft2, -0.22012071, 4.3483334, 1.3791994, 0.3083112, -1.4587189, 1.5999221, -2.1071143, -5.2397175, -8.367671, -6.9567676, -7.783474, -8.018393, -9.163714, -10.321052, -8.092698, -7.6605816, -9.079134, -13.116376, -7.7251697, -4.873543, -7.8498554, -11.7757435, -10.899132, -14.138798, -22.182713, -26.031712, -17.274542, -12.952137, -13.031722, -10.178543, -9.016302, -15.413449, -9.171728, -9.630047, -10.013649, -8.47495, -13.602285, -10.913497, -14.29063, -16.518335, -18.028807, -11.97118, -4.4241953, -6.9723945, -11.743611, -9.257819, -11.191291, -14.258358, -11.776499, -10.53382, -12.231824, -16.324482, -11.737269, -15.869459, -19.744724, -18.636885, -19.044893, -18.260921, -22.126009, -21.223562, -16.415823, -16.621191, -21.431894, -15.199511, -14.552164, -14.469373, -11.10434, -13.692702, -18.61475, -11.360648, -8.303786, -11.367981, -13.3968, -10.049445, -4.5404863, -9.462291, -10.064976, -13.254406, -19.441208, -19.122093, -12.578825, -13.741793, -16.108307, -11.36592, -14.130875, -14.139774, -17.001467, -15.942563, -14.169976, -15.136272, -13.324692, -18.364937, -17.246553, -16.690306, -14.5910015, -11.366694, -9.986856, -13.0160055, -14.642289, -16.49964, -11.204939, -9.947693, -13.56062, -12.956206, -13.093768, -14.961024, -18.345589, -12.391127, -16.079409, -16.469141, -12.395452, -11.71953, -14.446112, -13.327588, -15.205064, -13.097955, -1.6766778, -4.9817376, -21.880491, -17.787039, -21.808702, -20.66859, -17.883324, -15.827714, -15.85577, -21.099781, -16.16975, -18.318415, -18.772814
1431785129.812000, /muse/elements/raw_fft3, -8.92423, -1.8515921, 1.3472455, -2.5064182, -4.9049025, -2.8806543, -2.9648578, -3.1092653, -4.6993885, -5.8191323, -6.7025485, -4.227236, -5.240724, -2.3100643, -2.8125596, -7.0527725, -2.1360984, -6.6458254, -5.949013, -5.6879168, -7.311803, -9.239651, -11.414721, -6.7897787, -5.9254923, -10.343248, -5.537382, -5.2200184, -0.34141055, 1.2021822, -2.4856603, -4.399197, -7.22614, -6.1912627, -2.4038405, -3.32692, -6.210686, -8.096084, -5.651379, -6.310256, -8.502713, -3.3675845, -1.2504624, -4.6332693, -5.6617827, -7.060337, -6.4662056, -6.166576, -6.3193045, -6.6476827, -8.214297, -10.702965, -6.473743, -4.588392, -9.135468, -9.070052, -3.7576993, -5.4617667, -9.176918, -5.8516517, -4.424604, -6.7384763, -7.5841017, -4.7595143, -6.3045573, -4.197922, -4.8306994, -6.106267, -9.291311, -9.94448, -7.2015986, -5.1261024, -8.765526, -2.247991, 0.7101207, -8.865206, -6.0693054, -7.662348, -9.177142, -7.1968656, -7.2260523, -11.696155, -9.186776, -12.110877, -13.196045, -13.053135, -13.527755, -12.818101, -10.142662, -9.799637, -11.208885, -11.84139, -12.753882, -10.742314, -12.540473, -9.89178, -8.1942625, -8.235493, -9.44286, -8.958126, -7.989934, -8.548867, -6.7374215, -1.9310783, -6.5560427, -11.204213, -8.263246, -3.2197042, -4.0963454, -10.8884115, -12.207201, -17.63239, -11.013895, -9.311367, -11.194747, -11.196817, -7.7995095, -12.126202, -10.735295, -12.866936, -12.143695, -14.051318, -15.906473, -20.342852, -14.554518, -16.581064, -21.245451, -19.672823, -17.590014
1431785129.812000, /muse/elements/low_freqs_absolute, 0.6837444, 0.6127764, 0.79273254, 0.6958038
1431785129.812000, /muse/elements/alpha_absolute, 0.39795718, 0.062977485, 0.31199282, 0.7538827
1431785129.812000, /muse/elements/beta_absolute, 0.82857895, -0.15611744, 0.24088165, 0.8068074
1431785129.813000, /muse/elements/delta_absolute, 0.51931757, 0.4600482, 0.5154191, 0.39861068
1431785129.813000, /muse/elements/gamma_absolute, 0.3514637, -0.6722006, 0.17221771, 0.7608448
1431785129.813000, /muse/elements/theta_absolute, 0.18231006, 0.08478289, 0.46661562, 0.39090276
1431785129.813000, /muse/elements/alpha_session_score, 0.04225352, 0.41463414, 0.19444445, 0.85714287
1431785129.813000, /muse/elements/beta_session_score, 0.8108108, 0.125, 0.3125, 0.64285713
