1431785142.846000, /muse/elements/raw_fft3, 6.4819384, 12.248964, 14.287864, 14.375581, 15.035854, 14.763279, 13.228916, 10.058855, 7.8732677, 6.9620647, 5.856087, 3.2976744, 2.9235747, 0.29710937, -1.0542153, -1.2799708, -2.2380767, -3.6673, -5.3701873, -5.9172153, -3.5362654, -8.365313, -4.636287, -6.6718545, -7.5257463, -13.3215685, -4.2302685, -5.330174, -7.5839972, -7.977307, -11.991604, -9.91624, -5.10896, -6.362547, -7.5341606, -11.993405, -13.142854, -5.674009, -5.474362, -6.091913, -8.341351, -13.888293, -6.6446652, -7.8107452, -11.702512, -9.220189, -7.9366946, -6.7851157, -6.592959, -12.776092, -10.428171, -7.2652473, -10.334897, -12.4304695, -12.485452, -15.610781, -16.209484, -17.973825, -21.707272, -15.887924, -13.392103, -14.76757, -14.118292, -14.654485, -12.46399, -8.050028, -9.1748705, -9.610684, -7.7350683, -11.781362, -15.16772, -8.3419, -6.878319, -7.5188036, -3.1292443, -9.635831, -11.552073, -10.619046, -12.581791, -11.906257, -10.011072, -7.6063128, -10.1534395, -9.269332, -9.36485, -7.727126, -8.091109, -9.039282, -9.383511, -11.761788, -11.70321, -10.239295, -7.4477053, -9.149536, -12.513239, -14.3360615, -11.923482, -9.232681, -7.9185457, -7.3283844, -7.60936, -10.564047, -13.246047, -18.252644, -15.253357, -11.604498, -7.757737, -6.552963, -10.806557, -13.068564, -10.600055, -9.164855, -16.387527, -12.083246, -12.318196, -9.972643, 0.005596564, -3.4121573, -11.134196, -12.128561, -17.194735, -16.590342, -13.613318, -11.990146, -18.386944, -19.82847, -17.875767, -17.73151, -11.027857
1431785142.846000, /muse/elements/low_freqs_absolute, 0.5484189, 0.2661601, 0.64855087, 0.6808939
1431785142.846000, /muse/elements/alpha_absolute, 0.29364872, 0.4380313, 0.3721262, 0.45842305
1431785142.846000, /muse/elements/beta_absolute, 0.67655057, -0.14475493, 0.16967182, 0.8205276
1431785142.846000, /muse/elements/delta_absolute, 0.14891982, -0.0483857, 0.25502798, 0.4077201
1431785142.846000, /muse/elements/gamma_absolute, 0.46923348, -0.8732236, 0.20125769, 0.5830499
1431785142.846000, /muse/elements/theta_absolute, 0.32760638, -0.021762075, 0.42373225, 0.3500978
1431785142.846000, /muse/elements/alpha_session_score, 0.0, 1.0, 0.33333334, 0.3488372
1431785142.846000, /muse/elements/beta_session_score, 0.4074074, 0.2, 0.0, 1.0
1431785142.846000, /muse/elements/delta_session_score, 0.0, 0.0, 0.0, 0.18181819
1431785142.846000, /muse/elements/gamma_session_score, 0.32352942, 0.0, 0.8333333, 0.36666667
1431785142.846000, /muse/elements/theta_session_score, 0.22413793, 0.17391305, 0.4722222, 0.18604651
1431785142.846000, /muse/eeg, 853.7448, 820.8452, 847.16486, 843.87494
1431785142.846000, /muse/eeg, 858.67975, 822.4902, 840.58496, 848.8099
