1431785136.245000, /muse/elements/raw_fft1, -2.5889165, 3.1027348, 0.32634956, -7.0355554, -4.8901005, -3.6921365, -7.377357, -6.0410748, -7.1941533, -11.461902, -9.318271, -12.528265, -8.740651, -9.46896, -13.534107, -10.835634, -12.892733, -13.222869, -10.610368, -16.924791, -13.248536, -15.306893, -15.64362, -16.358313, -15.391439, -19.493282, -12.319131, -13.281183, -11.73887, -13.843253, -15.485876, -13.184162, -14.96232, -15.590557, -15.047372, -14.297845, -14.5370655, -17.13036, -13.696042, -13.5748625, -18.364368, -20.829535, -18.706167, -20.678417, -21.887146, -25.828327, -24.635567, -27.289326, -27.348894, -18.83929, -20.194525, -21.26462, -24.854826, -24.326645, -22.185472, -21.458954, -25.295269, -30.585531, -32.51336, -31.556046, -30.156809, -27.220375, -26.64982, -21.3084, -20.251673, -19.560917, -22.726074, -23.476055, -22.498869, -25.434944, -23.123356, -19.017763, -22.835009, -25.977638, -20.927088, -17.913206, -19.038044, -18.416523, -17.638248, -22.464163, -23.838823, -23.744238, -18.226444, -19.67505, -26.368414, -26.12699, -19.700136, -17.030342, -20.032612, -23.058323, -26.464653, -26.404835, -24.69582, -22.443829, -21.714937, -22.614464, -25.63991, -32.451794, -28.907331, -22.701952, -21.613813, -22.81989, -24.401613, -30.961712, -29.192522, -30.224373, -25.587383, -23.497095, -26.021463, -28.234438, -31.106398, -26.50167, -23.247522, -22.304188, -27.000292, -24.020699, -15.783294, -18.491795, -29.66657, -25.799643, -23.329206, -25.757664, -29.708042, -28.662786, -25.367357, -22.995655, -26.953897, -31.81524, -32.80179
1431785136.245000, /muse/elements/raw_fft2, -5.809807, 1.6347691, 1.9548802, -3.8578615, -1.9905791, 0.17428331, -2.6139715, -2.6718807, -5.417566, -4.740661, -5.1135774, -8.163813, -4.344892, -4.776469, -9.5322695, -10.372783, -9.716718, -11.3143, -10.233639, -12.4231615, -17.36363, -11.607059, -8.3128395, -9.970443, -11.678215, -5.792321, -8.149038, -11.400637, -7.9712186, -12.559548, -10.468308, -10.407088, -9.105469, -6.3183737, -7.569839, -11.199972, -10.290309, -9.527158, -15.533485, -11.713227, -12.643972, -12.661684, -3.9093847, -6.5439477, -23.651316, -19.418972, -15.165101, -10.081998, -13.586807, -17.593096, -21.33831, -14.897049, -8.832925, -5.4718356, -7.0753775, -10.376724, -13.529982, -17.41151, -22.639692, -20.646835, -17.390205, -11.964029, -11.187663, -12.598885, -13.536754, -22.579199, -16.330772, -12.80358, -10.739473, -10.733103, -15.342482, -11.582049, -12.793801, -12.106245, -10.743769, -15.602577, -15.533867, -13.979426, -13.8873, -15.045, -17.622608, -19.654402, -15.663403, -16.064568, -12.187048, -10.893143, -15.023299, -11.765243, -19.192537, -20.113398, -13.094031, -15.519732, -21.955988, -17.746851, -14.442945, -10.705171, -13.958236, -21.09558, -14.701115, -10.387562, -6.521628, -8.251681, -13.802292, -15.816901, -16.455227, -13.749773, -9.725426, -15.245803, -23.865582, -18.001793, -15.710287, -17.345396, -17.715397, -20.628683, -20.382917, -12.263664, -1.3700465, -4.0841274, -18.56027, -18.78691, -21.447662, -20.804987, -24.550959, -24.309353, -19.592445, -17.993568, -18.497522, -19.76676, -17.632734
1431785136.245000, /muse/elements/raw_fft3, 0.39360306, 4.25355, 3.8317409, 1.1500932, -0.27439955, -0.81540483, -1.3017781, -4.51753, -3.8556206, -4.8387976, -5.151756, -2.8057764, -5.55972, -4.957279, -3.22446, -3.2708638, -10.641376, -11.379289, -8.8812065, -7.41681, -6.8993955, -5.9276314, -3.0894592, -2.0155776, -4.67506, -8.363906, -10.984094, -9.293313, -8.484739, -1.6718754, -2.319317, -6.5773125, -5.814365, -5.002595, -8.945285, -4.5688987, -8.322834, -9.435065, -5.26429, -6.362701, -7.4454684, -7.542898, -5.0682864, -5.417481, -6.2728195, -3.6054251, 0.20742813, -1.4090706, -2.4083078, -3.5592628, -10.504341, -11.491482, -6.1447124, -1.8005314, 1.0314559, 0.48748264, -0.9233112, -4.370443, -11.715955, -5.826951, -1.3452052, -0.68355995, -0.51171976, 0.27279773, -3.4818265, -7.770043, -3.1521733, -2.941384, -4.3291826, -0.52657986, -0.43598706, -7.0672774, -4.2084465, -3.6171954, -5.6302986, -11.831054, -13.4980345, -13.468535, -10.830078, -4.940624, -6.068367, -8.32547, -10.760929, -9.579181, -6.2541485, -7.0783086, -5.431534, -5.216631, -6.197225, -10.087844, -7.074154, -6.827637, -11.246167, -7.2961392, -7.3377585, -3.2324083, -4.6128144, -14.612721, -14.71693, -8.4251375, -4.6959834, -8.088558, -11.297037, -9.985174, -9.177264, -7.1328864, -5.5258665, -12.052689, -11.66474, -11.088185, -11.466465, -11.300125, -10.64451, -10.909342, -12.227039, -6.1855173, -0.52093256, -4.5847397, -13.004804, -12.301737, -12.669192, -13.545702, -14.547024, -14.811631, -15.783106, -11.14784, -12.990387, -17.340143, -15.7126465
1431785136.245000, /muse/elements/low_freqs_absolute, 0.63608825, 0.40225592, 0.6365577, 0.79140806
1431785136.245000, /muse/elements/alpha_absolute, 0.47507188, 0.10396126, 0.6123077, 0.6711589
1431785136.245000, /muse/elements/beta_absolute, 0.7201655, -0.09493673, 0.34301534, 0.6995005
1431785136.245000, /muse/elements/delta_absolute, 0.38020265, 0.17745282, 0.2896252, 0.5213702
1431785136.245000, /muse/elements/gamma_absolute, 0.41861442, -0.56468576, 0.15829301, 0.7439131
1431785136.245000, /muse/elements/theta_absolute, 0.2846709, 0.008710081, 0.37703905, 0.45700318
1431785136.245000, /muse/elements/alpha_session_score, 0.18181819, 0.4516129, 1.0, 0.82222223
