1431785164.556000, /muse/acc, 54.687584, 992.189, 152.344
1431785164.582000, /muse/eeg, 853.7448, 829.07007, 853.7448, 852.0998
1431785164.582000, /muse/eeg/quantization, 1, 1, 1, 1
1431785164.582000, /muse/eeg, 865.25964, 830.7151, 840.58496, 855.3898
1431785164.582000, /muse/eeg, 847.16486, 827.4251, 850.45483, 838.94
1431785164.582000, /muse/eeg, 855.3898, 829.07007, 842.2299, 837.295
1431785164.582000, /muse/eeg, 858.67975, 829.07007, 837.295, 838.94
1431785164.582000, /muse/eeg, 857.0347, 827.4251, 843.87494, 852.0998
1431785164.582000, /muse/eeg, 852.0998, 830.7151, 855.3898, 843.87494
1431785164.583000, /muse/eeg, 857.0347, 829.07007, 843.87494, 857.0347
1431785164.583000, /muse/eeg, 850.45483, 829.07007, 843.87494, 852.0998
1431785164.583000, /muse/eeg, 853.7448, 825.78015, 852.0998, 834.005
1431785164.583000, /muse/eeg, 865.25964, 822.4902, 838.94, 838.94
1431785164.583000, /muse/eeg, 847.16486, 820.8452, 837.295, 843.87494
1431785164.583000, /muse/eeg, 845.5199, 819.2002, 842.2299, 832.36005
1431785164.583000, /muse/elements/alpha_relative, 0.12091856, 0.2491176, 0.19462457, 0.25085127
1431785164.583000, /muse/elements/beta_relative, 0.4283071, 0.13121654, 0.12465738, 0.25655127
1431785164.583000, /muse/elements/delta_relative, 0.16857131, 0.38448063, 0.29420954, 0.15889266
1431785164.583000, /muse/elements/gamma_relative, 0.21795021, 0.04430591, 0.14808545, 0.22676302
1431785164.583000, /muse/elements/theta_relative, 0.06425282, 0.19087934, 0.23842306, 0.10694177
1431785164.583000, /muse/elements/horseshoe, 1.0, 1.0, 1.0, 1.0
1431785164.583000, /muse/elements/is_good, 1, 1, 1, 1
1431785164.583000, /muse/elements/blink, 0
1431785164.583000, /muse/elements/jaw_clench, 0
1431785164.583000, /muse/elements/touching_forehead, 1
1431785164.583000, /muse/elements/experimental/concentration, 0.44084108
1431785164.583000, /muse/elements/experimental/mellow, 0.111263156
1431785164.583000, /muse/elements/raw_fft0, -7.0290737, -1.7702454, 0.37465084, 0.6366959, -0.37952313, -3.231784, -5.156401, -4.4490833, -7.4836683, -7.812278, -8.0966215, -12.534983, -12.275295, -3.1767802, -5.4985266, -14.039494, -14.435278, -7.1474047, -5.51725, -9.183612, -2.7317674, -3.2805371, -6.6658726, -12.59432, -4.042315, -5.301016, -7.102548, -5.854915, -1.7918926, -1.9466076, -7.528034, -4.453582, -3.5456495, 0.055474255, -3.7069921, -7.0632963, -5.6832047, -4.808628, -2.7767158, -5.9966655, -5.986783, -5.9543185, -5.646987, -6.0878873, -12.183176, -11.439533, -4.7349553, -8.289273, -14.513722, -13.174483, -15.387152, -13.005945, -10.774492, -8.269039, -13.091335, -13.604744, -15.2417, -22.823694, -28.454172, -16.614132, -14.3646, -12.039817, -10.363425, -10.681247, -7.739525, -8.137058, -8.357905, -7.4609313, -7.3013625, -11.190233, -7.8057413, -6.0771203, -10.030528, -5.343641, -7.2203054, -8.281786, -6.993105, -8.716435, -2.6205847, -5.2012134, -11.039599, -8.224431, -0.9825964, -4.93708, -9.849842, -9.916931, -7.3459353, -8.260419, -6.4602704, -3.413662, -0.014705235, -5.72048, -10.323515, -12.112507, -12.836257, -12.956044, -7.965909, -4.811434, -9.0504465, -5.194628, -2.0749424, -5.9227576, -7.6940875, -12.497357, -6.359331, -4.422291, -9.017806, -7.1066628, -8.536913, -6.4320984, -13.012222, -10.787827, -11.005385, -8.799756, -7.2282777, -10.301817, -7.2659802, -12.998682, -13.651305, -9.655078, -12.457788, -19.358604, -17.801159, -14.828947, -12.120265, -14.152543, -14.810764, -16.669037, -21.137018
1431785164.584000, /muse/elements/raw_fft1, -7.1319213, -4.7671304, -0.9253672, 0.7264584, -3.6137326, -6.530189, -4.610761, -7.1251435, -7.9439096, -12.092992, -11.541882, -7.579103, -7.044083, -11.252094, -13.687943, -10.135348, -10.992636, -12.246017, -12.310874, -10.878415, -11.906097, -7.6434393, -11.823142, -19.766663, -17.546505, -16.442724, -18.127378, -17.875284, -18.478418, -16.317043, -14.612881, -19.078861, -14.533257, -12.922402, -14.783235, -15.525474, -15.733033, -15.691612, -15.994465, -14.851025, -12.471623, -16.665415, -19.884747, -21.57585, -20.822777, -21.282272, -21.68959, -20.853249, -22.898928, -24.399076, -29.745556, -26.324821, -21.15248, -20.418262, -26.4042, -24.87494, -25.512655, -28.003775, -29.3221, -25.410524, -24.037006, -27.134224, -27.247358, -24.263716, -24.799345, -20.602472, -17.753935, -21.654486, -18.344112, -20.353582, -21.901182, -22.152164, -18.228516, -23.164703, -21.119318, -24.078917, -19.911633, -21.907501, -23.497019, -19.233185, -20.701406, -23.925964, -21.885414, -24.710283, -22.551025, -24.806265, -22.195732, -22.052961, -22.12029, -21.844286, -26.168522, -23.618748, -21.890802, -25.873722, -21.768553, -22.22632, -21.25395, -25.178558, -26.478336, -24.621107, -18.34882, -19.98865, -21.718756, -26.36425, -30.632166, -23.864897, -22.26031, -25.887342, -22.290274, -24.715515, -26.597857, -25.46629, -29.911316, -24.766302, -21.095211, -22.48226, -15.969111, -17.938837, -27.188284, -26.338196, -30.448042, -28.540995, -29.06586, -32.777912, -29.460941, -28.485525, -29.383148, -29.79917, -32.732437
1431785164.584000, /muse/elements/raw_fft2, -6.2711024, -0.2887604, -0.39917678, 1.6975943, 2.600397, 1.7337127, 1.3108646, -2.651332, -6.5580435, -5.7865596, -6.5786138, -5.8399687, -8.625769, -2.5849204, -5.886474, -7.2859316, -8.602408, -6.495601, -11.28787, -15.744573, -8.662726, -10.215412, -17.387918, -12.625886, -10.445461, -11.08037, -8.511539, -12.609238, -11.668861, -9.49496, -8.701791, -10.839871, -12.283691, -14.956941, -12.446329, -13.886959, -9.712123, -10.88995, -13.628572, -12.049932, -12.742541, -7.970773, -2.733981, -6.5297217, -12.34456, -6.928585, -7.0680437, -9.798854, -6.8291025, -13.965444, -13.785883, -12.712247, -9.070163, -7.1572204, -9.784605, -13.584146, -9.620404, -11.213187, -16.88036, -13.614256, -9.925273, -11.2594385, -14.072401, -16.054054, -17.904484, -13.141746, -12.36551, -15.076092, -12.936437, -14.154306, -13.518603, -13.804864, -16.3788, -11.605975, -4.991726, -10.412361, -15.820149, -12.325121, -8.82652, -9.47695, -11.500631, -13.682605, -13.004183, -15.331029, -10.562142, -9.227469, -11.320975, -13.153427, -14.036092, -16.416107, -10.235101, -10.598287, -13.731721, -17.478275, -15.12593, -14.95336, -15.975247, -15.593489, -19.28423, -16.771454, -10.405064, -10.29862, -12.651061, -14.087607, -16.514112, -10.81777, -9.761581, -14.620122, -13.806713, -11.572111, -12.704727, -19.950857, -17.054407, -11.104919, -11.062056, -13.921856, -6.2203846, -8.560672, -15.4517975, -15.52775, -14.875014, -19.346851, -20.124344, -22.825743, -24.812828, -21.43433, -23.94663, -22.782972, -26.780483
1431785164.584000, /muse/elements/raw_fft3, -7.4718122, -3.471262, 0.60036427, 1.4590904, -0.24208517, -0.66124874, 0.017240236, -4.0221295, -8.489326, -8.746547, -7.680491, -3.682796, -4.4705086, -4.933933, -4.7212095, 0.001645634, -0.46557677, -6.890569, -5.892649, -3.1922932, -0.566341, -5.391758, -15.227111, -11.405988, -7.359753, -3.583964, -8.36895, -11.610977, -11.078583, -3.2091563, -3.018966, -4.463156, -9.756785, -13.8806305, -9.5521145, -3.5677104, -6.7502394, -8.143112, -10.754649, -7.099094, -3.1747499, -1.575425, -2.9661188, -3.7628348, -3.1574867, -4.0858397, -2.9406278, -3.2408853, -9.947039, -5.0303783, -5.547193, -8.869151, -1.8032575, 0.15255159, -4.880897, -4.198353, 0.6471572, -1.0688213, -6.9890127, -2.6516123, 0.07505683, -1.6496418, -7.321811, -4.9701, -1.9876294, -5.911185, -6.966317, -3.2852132, -4.5431767, -5.5843887, -8.040548, -11.125551, -12.134813, -15.621153, -13.453759, -12.766212, -11.272445, -10.244531, -6.075542, -8.557834, -10.275749, -10.545197, -10.418143, -11.217408, -8.672266, -9.099776, -10.976316, -12.582661, -9.452557, -7.800791, -4.231767, -5.7367516, -7.2382975, -9.98287, -7.7747726, -5.9740605, -9.006845, -5.2988386, -7.9918923, -7.437937, -7.369236, -4.9598317, -6.4179516, -8.057863, -9.333578, -8.897161, -5.771145, -8.076727, -8.2350645, -9.75286, -12.531343, -14.5763, -15.196382, -11.811253, -9.506038, -5.6972203, 1.0123147, -2.0551472, -8.7883415, -8.385383, -13.6509, -16.369465, -16.600578, -13.497418, -13.1472, -16.353046, -19.657984, -17.041176, -16.247898
1431785164.584000, /muse/elements/low_freqs_absolute, 0.6660468, 0.51014745, 0.85725147, 0.7546732
1431785164.584000, /muse/elements/alpha_absolute, 0.38151175, 0.14661223, 0.4200214, 0.72947824
1431785164.584000, /muse/elements/beta_absolute, 0.9307741, -0.1318036, 0.22654171, 0.7392361
1431785164.584000, /muse/elements/delta_absolute, 0.5258025, 0.33508226, 0.59948045, 0.5311658
1431785164.584000, /muse/elements/gamma_absolute, 0.6373761, -0.6033305, 0.30133608, 0.6856342
1431785164.584000, /muse/elements/theta_absolute, 0.106911, 0.030966751, 0.508172, 0.3592093
1431785164.584000, /muse/elements/alpha_session_score, 0.2826087, 0.6756757, 0.3939394, 1.0
1431785164.584000, /muse/elements/beta_session_score, 1.0, 0.6, 0.0, 0.6785714
1431785164.584000, /muse/elements/delta_session_score, 0.5714286, 0.44680852, 0.5, 0.47058824
1431785164.584000, /muse/elements/gamma_session_score, 0.75, 0.7419355, 1.0, 0.7692308
1431785164.584000, /muse/elements/theta_session_score, 0.0, 0.2173913, 0.7777778, 0.25714287
1431785164.584000, /muse/eeg, 834.005, 819.2002, 847.16486, 830.7151
1431785164.584000, /muse/eeg, 842.2299, 820.8452, 832.36005, 842.2299
1431785164.584000, /muse/eeg, 838.94, 819.2002, 838.94, 825.78015
1431785164.584000, /muse/acc, 58.59384, 996.09534, 152.344
1431785164.601000, /muse/acc, 58.59384, 996.09534, 152.344
1431785164.635000, /muse/acc, 58.59384, 1000.0016, 152.344
1431785164.635000, /muse/drlref, 1648387.1, 1654838.8
1431785164.646000, /muse/acc, 58.59384, 1000.0016, 152.344
1431785164.661000, /muse/eeg, 847.16486, 820.8452, 842.2299, 843.87494
1431785164.661000, /muse/eeg/quantization, 1, 1, 1, 1
1431785164.661000, /muse/eeg, 853.7448, 820.8452, 850.45483, 837.295
1431785164.661000, /muse/eeg, 850.45483, 819.2002, 845.5199, 840.58496
1431785164.661000, /muse/eeg, 837.295, 817.55524, 845.5199, 840.58496
1431785164.661000, /muse/eeg, 843.87494, 815.9103, 845.5199, 829.07007
1431785164.661000, /muse/eeg, 850.45483, 815.9103, 838.94, 837.295
1431785164.661000, /muse/eeg, 847.16486, 817.55524, 834.005, 848.8099
1431785164.661000, /muse/eeg, 858.67975, 815.9103, 843.87494, 840.58496
1431785164.661000, /muse/eeg, 866.90466, 817.55524, 843.87494, 845.5199
1431785164.661000, /muse/eeg, 850.45483, 815.9103, 829.07007, 852.0998
1431785164.662000, /muse/eeg, 863.6147, 814.26526, 843.87494, 845.5199
1431785164.662000, /muse/eeg, 838.94, 817.55524, 845.5199, 840.58496
1431785164.662000, /muse/eeg, 847.16486, 817.55524, 838.94, 842.2299
1431785164.662000, /muse/eeg, 865.25964, 819.2002, 847.16486, 845.5199
1431785164.662000, /muse/eeg, 845.5199, 820.8452, 837.295, 845.5199
