1431785164.556000, /muse/acc, 54.687584, 992.189, 152.344
1431785164.662000, /muse/eeg, 855.3898, 819.2002, 840.58496, 855.3898
1431785164.662000, /muse/acc, 54.687584, 996.09534, 152.344
1431785164.676000, /muse/acc, 58.59384, 996.09534, 152.344
1431785164.706000, /muse/acc, 54.687584, 996.09534, 148.43773
1431785164.724000, /muse/acc, 54.687584, 992.189, 148.43773
1431785164.724000, /muse/eeg, 861.9697, 820.8452, 837.295, 858.67975
1431785164.724000, /muse/eeg/quantization, 1, 1, 1, 1
1431785164.724000, /muse/eeg, 852.0998, 820.8452, 845.5199, 855.3898
1431785164.724000, /muse/eeg, 853.7448, 820.8452, 848.8099, 845.5199
1431785164.724000, /muse/elements/alpha_relative, 0.12543362, 0.24974927, 0.1898091, 0.2548236
1431785164.724000, /muse/elements/beta_relative, 0.426966, 0.1399679, 0.12093904, 0.25073087
1431785164.724000, /muse/elements/delta_relative, 0.16857629, 0.38405734, 0.3002939, 0.15221521
1431785164.724000, /muse/elements/gamma_relative, 0.21153162, 0.04521376, 0.15011474, 0.232144
1431785164.724000, /muse/elements/theta_relative, 0.06749244, 0.18101174, 0.2388432, 0.110086314
1431785164.724000, /muse/elements/horseshoe, 1.0, 1.0, 1.0, 1.0
1431785164.725000, /muse/elements/is_good, 1, 1, 1, 1
1431785164.725000, /muse/elements/blink, 0
1431785164.725000, /muse/elements/jaw_clench, 0
1431785164.725000, /muse/elements/touching_forehead, 1
1431785164.725000, /muse/elements/experimental/concentration, 0.4533612
1431785164.725000, /muse/elements/experimental/mellow, 0.12202538
1431785164.725000, /muse/elements/raw_fft0, -6.1893697, -1.225, 0.15566088, 0.96716374, -0.61348486, -2.7861035, -5.0725136, -4.444297, -7.9959884, -7.820176, -8.035632, -11.880598, -11.888771, -3.4773057, -5.666289, -15.21753, -14.322372, -7.557861, -5.2138815, -8.925666, -2.3013158, -3.4405484, -6.9157505, -13.686759, -3.9441516, -4.6839447, -6.9251933, -5.8535304, -1.7969009, -3.1249468, -10.227092, -5.170942, -3.9516773, -0.026049633, -3.385974, -6.7780466, -6.6135087, -4.717155, -3.703824, -7.418648, -7.0663033, -5.903293, -5.4617257, -6.521831, -12.868117, -11.027841, -4.4211025, -8.114677, -16.26206, -13.437021, -15.646069, -12.431729, -10.515227, -9.33898, -15.039932, -14.404487, -16.580551, -24.420826, -27.550892, -17.115448, -14.694671, -12.487267, -10.162282, -10.750904, -8.7089405, -8.884589, -8.135429, -8.001385, -7.8855243, -12.480303, -8.415356, -5.499251, -8.782641, -6.2651362, -8.826332, -8.094518, -7.2824206, -9.133716, -4.0574346, -7.273931, -11.172899, -7.5969834, -1.1004269, -5.118239, -11.023525, -10.408271, -7.4781494, -9.467545, -7.144717, -3.6008434, -0.9061565, -6.6524253, -9.799856, -11.946182, -12.301808, -12.468923, -7.4831257, -4.107586, -8.741951, -5.94768, -2.6507478, -6.200703, -8.059292, -12.383215, -6.344613, -4.551036, -8.595656, -7.915393, -9.516454, -6.7154717, -13.047781, -10.292747, -10.863284, -8.703577, -7.679934, -11.139852, -6.987593, -14.176241, -13.514833, -9.747843, -11.683495, -18.61853, -18.499876, -16.512238, -12.48098, -13.744415, -15.357092, -17.589808, -20.90479
1431785164.725000, /muse/elements/raw_fft1, -6.6012025, -5.047627, -0.6249331, 1.0775025, -3.712177, -6.379644, -5.44908, -6.7000856, -6.825451, -11.346116, -11.419408, -7.439564, -7.013752, -12.701507, -14.897498, -10.590478, -11.56701, -11.922926, -12.027957, -10.682146, -10.510692, -7.299012, -11.602337, -20.236412, -18.505522, -17.17687, -18.622826, -17.604284, -18.45727, -15.71088, -14.054869, -19.102247, -15.140226, -13.130236, -14.754856, -16.380201, -16.484434, -15.3176155, -16.565891, -15.811541, -12.961597, -17.058666, -19.23956, -19.842966, -20.367506, -21.674665, -22.494064, -20.808355, -22.599834, -23.4077, -29.994583, -28.374743, -21.513344, -20.376242, -25.777372, -24.789614, -25.656052, -28.401169, -29.065466, -25.161934, -24.666363, -27.213863, -26.956007, -23.811594, -24.864603, -20.860537, -18.020332, -20.882532, -18.299911, -20.134161, -21.661371, -21.624985, -17.972864, -22.354189, -20.329567, -23.43251, -20.58401, -22.706032, -24.824636, -18.654198, -20.434761, -24.046333, -22.7161, -25.636433, -22.892736, -24.738083, -22.133501, -22.329515, -21.843632, -21.48317, -25.690649, -23.03297, -21.738699, -27.608576, -22.938192, -22.45516, -21.0131, -26.253342, -26.557093, -25.34015, -19.564365, -20.259974, -22.07207, -26.108551, -31.526209, -23.273912, -21.251375, -26.56019, -23.34484, -24.926216, -26.07546, -25.106915, -29.795256, -24.781, -21.029634, -23.338903, -16.137997, -17.825886, -27.376966, -26.416838, -30.43636, -28.644764, -29.579401, -33.045097, -29.477888, -27.90952, -28.311344, -28.461374, -32.069073
1431785164.726000, /muse/elements/raw_fft2, -5.9858146, 0.40707317, -0.98401946, 1.4473866, 2.8070223, 1.6212964, 0.49631384, -3.3127239, -6.7856455, -6.4545503, -7.1066527, -6.2663903, -9.529834, -2.8448184, -6.6649885, -6.831573, -8.043079, -6.0929933, -11.596147, -15.028042, -8.411874, -9.66778, -15.873951, -12.815252, -10.015954, -10.39191, -7.8106246, -12.385123, -11.466648, -9.081824, -8.363034, -10.864, -12.549334, -14.909934, -12.598734, -13.530989, -9.264398, -10.465003, -13.327202, -11.935754, -11.664933, -8.30044, -2.6455913, -6.281693, -13.407949, -7.7340217, -7.5029263, -10.535469, -7.2468033, -14.649352, -13.180992, -12.673274, -9.273365, -7.4592566, -10.341453, -14.922397, -10.104272, -11.572005, -17.423037, -14.134011, -10.261762, -11.3283, -14.306856, -16.476517, -17.507755, -13.605419, -13.193924, -15.136114, -13.2326975, -14.389993, -13.370314, -13.771347, -15.918451, -11.27447, -4.534556, -10.402143, -15.257374, -13.313236, -9.422892, -9.864586, -11.808885, -13.382683, -12.90743, -13.585816, -9.529087, -9.076131, -11.945121, -12.887701, -13.622859, -16.400711, -10.727214, -10.55216, -13.772296, -17.333439, -15.830404, -16.302423, -15.469758, -15.483519, -20.32924, -17.989586, -9.918237, -9.35993, -12.709871, -14.523832, -17.02643, -10.901745, -9.203415, -13.224108, -14.391254, -11.060333, -11.717363, -20.699, -17.027676, -11.262334, -10.904876, -14.841128, -6.4525285, -8.4787245, -15.3425665, -14.694748, -14.102779, -18.838266, -19.773415, -23.463106, -24.86969, -20.907053, -24.970486, -23.5655, -28.207657
1431785164.726000, /muse/elements/raw_fft3, -7.093775, -2.5679085, 1.0035182, 1.679875, -0.41650528, -0.6001402, -0.23154424, -3.580528, -8.42085, -9.750876, -8.220106, -3.4480104, -4.0142484, -5.849799, -6.262088, -0.54477674, -1.0717382, -8.482151, -6.1548357, -3.116443, -1.0541475, -6.105551, -15.926852, -10.576362, -6.994093, -4.0449595, -9.308709, -12.399596, -12.207098, -4.1404696, -3.4945922, -4.367908, -9.315525, -13.705081, -10.145713, -3.4533155, -6.611025, -6.321116, -9.078361, -7.2286625, -3.5200412, -2.079364, -2.8754478, -3.6771817, -3.4745345, -4.0760074, -3.3039694, -3.6081038, -9.503102, -5.014157, -5.792195, -10.073336, -2.4730153, -0.28542966, -5.2338247, -4.7512684, 0.27571806, -1.4412292, -8.009455, -3.196291, -0.2538169, -2.1024327, -7.670183, -5.3456726, -2.3570957, -6.4046254, -8.030915, -4.729417, -6.105376, -6.0230503, -7.8817987, -10.508831, -11.497879, -14.970858, -12.978246, -13.264605, -12.533626, -10.403153, -6.165713, -8.5221, -10.897688, -11.424402, -11.759695, -10.940633, -8.202143, -9.07006, -10.366169, -12.907908, -9.473195, -7.8875804, -4.3894296, -5.5071707, -7.330905, -10.470691, -8.881171, -6.537556, -8.709796, -5.2205358, -7.825762, -7.928884, -8.191934, -4.7844963, -5.919555, -8.794717, -10.916054, -9.340162, -5.495818, -7.5027714, -8.517638, -10.593152, -11.5576725, -13.733741, -15.3452635, -10.842355, -9.104873, -5.9201574, 0.59726447, -2.4007232, -8.797615, -8.598833, -13.787462, -16.794458, -18.152, -14.9357395, -13.433925, -16.708725, -21.644436, -17.166433, -16.36895
1431785164.726000, /muse/elements/low_freqs_absolute, 0.6561363, 0.50120956, 0.8734036, 0.74437743
1431785164.726000, /muse/elements/alpha_absolute, 0.38151175, 0.14661223, 0.4200214, 0.73181623
1431785164.726000, /muse/elements/beta_absolute, 0.91349113, -0.104863554, 0.22427087, 0.72478443
1431785164.726000, /muse/elements/delta_absolute, 0.5098943, 0.33350408, 0.6192509, 0.5080347
1431785164.726000, /muse/elements/gamma_absolute, 0.6084731, -0.5956214, 0.31812775, 0.69133407
1431785164.726000, /muse/elements/theta_absolute, 0.11235294, 0.006814729, 0.5198173, 0.36730993
1431785164.726000, /muse/elements/alpha_session_score, 0.2888889, 0.6666667, 0.3939394, 1.0
1431785164.726000, /muse/elements/beta_session_score, 0.95348835, 0.7, 0.0, 0.60714287
1431785164.726000, /muse/elements/delta_session_score, 0.5535714, 0.44680852, 0.5471698, 0.44117647
1431785164.726000, /muse/elements/gamma_session_score, 0.70454544, 0.7419355, 1.0, 0.7948718
1431785164.726000, /muse/elements/theta_session_score, 0.0, 0.15555556, 0.8055556, 0.25714287
1431785164.726000, /muse/eeg, 860.3247, 824.13513, 830.7151, 857.0347
1431785164.726000, /muse/eeg, 840.58496, 824.13513, 843.87494, 848.8099
1431785164.726000, /muse/eeg, 848.8099, 822.4902, 857.0347, 827.4251
1431785164.727000, /muse/eeg, 860.3247, 820.8452, 845.5199, 837.295
1431785164.727000, /muse/eeg, 853.7448, 822.4902, 850.45483, 838.94
1431785164.727000, /muse/eeg, 847.16486, 822.4902, 850.45483, 848.8099
1431785164.727000, /muse/eeg, 857.0347, 824.13513, 850.45483, 861.9697
1431785164.727000, /muse/eeg, 860.3247, 827.4251, 840.58496, 875.1295
1431785164.727000, /muse/eeg, 840.58496, 820.8452, 850.45483, 860.3247
1431785164.727000, /muse/eeg, 855.3898, 820.8452, 848.8099, 835.65
1431785164.727000, /muse/eeg, 861.9697, 820.8452, 830.7151, 855.3898
1431785164.727000, /muse/eeg, 847.16486, 819.2002, 827.4251, 845.5199
1431785164.727000, /muse/eeg, 850.45483, 817.55524, 830.7151, 842.2299
1431785164.740000, /muse/drlref, 1648387.1, 1654838.8
1431785164.740000, /muse/acc, 54.687584, 996.09534, 148.43773
1431785164.757000, /muse/acc, 54.687584, 992.189, 148.43773
1431785164.776000, /muse/acc, 58.59384, 996.09534, 152.344
1431785164.801000, /muse/eeg, 858.67975, 817.55524, 830.7151, 842.2299
1431785164.801000, /muse/eeg/quantization, 1, 1, 1, 1
1431785164.801000, /muse/eeg, 860.3247, 822.4902, 830.7151, 855.3898
1431785164.801000, /muse/eeg, 848.8099, 822.4902, 842.2299, 838.94
1431785164.801000, /muse/eeg, 848.8099, 825.78015, 838.94, 830.7151
1431785164.801000, /muse/eeg, 848.8099, 825.78015, 835.65, 848.8099
1431785164.801000, /muse/eeg, 843.87494, 822.4902, 834.005, 840.58496
1431785164.802000, /muse/eeg, 827.4251, 822.4902, 835.65, 843.87494
1431785164.802000, /muse/eeg, 845.5199, 827.4251, 842.2299, 852.0998
1431785164.802000, /muse/eeg, 888.28937, 824.13513, 842.2299, 866.90466
1431785164.802000, /muse/elements/alpha_relative, 0.13040216, 0.24421231, 0.18714754, 0.25609812
1431785164.802000, /muse/elements/beta_relative, 0.42465967, 0.14569898, 0.1201255, 0.24452285
1431785164.802000, /muse/elements/delta_relative, 0.17114583, 0.38206926, 0.30045357, 0.14839613
1431785164.802000, /muse/elements/gamma_relative, 0.20296218, 0.0455423, 0.1515602, 0.23916721
1431785164.802000, /muse/elements/theta_relative, 0.07083016, 0.18247715, 0.24071318, 0.11181568
1431785164.802000, /muse/elements/horseshoe, 1.0, 1.0, 1.0, 1.0
1431785164.802000, /muse/elements/is_good, 1, 1, 1, 1
1431785164.802000, /muse/elements/blink, 0
1431785164.804000, /muse/elements/jaw_clench, 0
1431785164.804000, /muse/elements/touching_forehead, 1
1431785164.804000, /muse/elements/experimental/concentration, 0.46533638
1431785164.804000, /muse/elements/experimental/mellow, 0.1327876
1431785164.804000, /muse/elements/raw_fft0, -6.0781856, -0.7692026, 0.15336393, 1.0988233, -1.0181481, -2.520047, -5.20831, -4.5590267, -9.027307, -7.965622, -7.8895764, -11.052918, -11.318673, -3.8469949, -5.617488, -14.993814, -14.11787, -7.841321, -4.8180676, -7.7419558, -1.7046738, -3.574151, -7.1583176, -13.293888, -3.9827912, -4.4541245, -6.716172, -5.755865, -1.8358378, -3.9105697, -10.205862, -5.811165, -4.1958537, -0.1762153, -3.290017, -6.723409, -7.267186, -4.663537, -4.7790966, -9.280405, -8.38686, -6.129666, -5.5537305, -6.85193, -13.624964, -10.188048, -4.2881374, -8.037574, -17.224195, -13.74145, -15.909218, -11.826564, -10.264962, -10.643257, -16.553915, -14.751967, -17.555433, -25.832876, -26.924559, -17.662504, -15.267284, -13.095892, -9.942621, -10.518583, -10.108113, -9.2613735, -7.9055643, -8.563031, -8.879801, -13.990247, -9.204359, -4.987861, -7.8737745, -7.4069595, -9.770275, -8.231674, -7.7007546, -9.743213, -5.582863, -9.575776, -9.927467, -7.351118, -1.3406091, -5.1989527, -12.398813, -10.676196, -7.577681, -10.128796, -8.172649, -4.105363, -2.1076999, -7.5272527, -9.25208, -11.464113, -12.242172, -11.353987, -6.698517, -3.661417, -8.580446, -7.166234, -3.2496037, -6.2007866, -8.1870575, -11.811608, -6.3819532, -4.7900724, -8.500496, -8.634486, -10.121902, -7.169395, -13.475052, -9.840454, -10.83018, -8.733052, -8.274177, -11.182913, -6.860295, -15.056491, -13.747184, -9.906756, -10.918592, -17.595005, -18.90633, -18.489403, -12.734962, -13.475937, -15.806908, -18.656319, -20.87224
1431785164.805000, /muse/elements/raw_fft1, -7.4117713, -4.890332, -0.1524622, 1.3071146, -4.066504, -6.349575, -6.2578936, -6.098291, -6.076247, -10.5210495, -11.299642, -7.358896, -7.0897965, -14.313172, -15.442162, -11.003162, -12.266852, -11.881428, -11.974697, -10.398796, -9.187644, -7.1131854, -11.5522995, -20.491726, -18.958355, -17.788296, -19.216703, -17.390398, -18.392088, -15.008344, -13.727863, -19.136839, -15.9979925, -13.600266, -14.867254, -17.336433, -17.504955, -15.013587, -17.286312, -17.160608, -13.746675, -17.682875, -18.535372, -18.38819, -19.980438, -21.841022, -23.347376, -20.779129, -22.036516, -22.553629, -29.605503, -29.89992, -22.028492, -20.580395, -25.549736, -24.78416, -26.011814, -29.058681, -28.725847, -25.061384, -25.478868, -27.60834, -26.774097, -23.156576, -24.895475, -21.448559, -18.487396, -20.460304, -18.351217, -19.978434, -21.25167, -21.069946, -17.913385, -21.840242, -19.48352, -23.055796, -21.436113, -23.03553, -25.85637, -18.216375, -20.204176, -24.184137, -23.663647, -26.879213, -23.268911, -24.551975, -22.222155, -22.795673, -21.720945, -21.32968, -25.603052, -22.791716, -21.506762, -28.901205, -24.25718, -22.601742, -20.963614, -27.31504, -26.748861, -26.248575, -20.540668, -20.255947, -22.437555, -25.795773, -32.40677, -22.790388, -20.524536, -26.261393, -24.257036, -24.809996, -25.845001, -24.871313, -29.837963, -24.863104, -21.233238, -24.158064, -16.470459, -17.821945, -27.45895, -26.49569, -30.246832, -28.642223, -29.994455, -33.04922, -29.597282, -27.63102, -26.800732, -27.35901, -31.733126
