1431785188.671000, /muse/elements/raw_fft2, -2.0694823, 4.034755, 3.3737876, -0.6898523, -2.1051884, -2.4343596, -1.7973964, -8.927571, -7.522056, -7.837913, -8.813987, -9.125316, -9.398646, -9.914539, -13.371638, -9.375212, -5.5412483, -7.12977, -9.78879, -5.1667686, -4.9205837, -8.533352, -8.503273, -6.5810523, -9.72134, -13.177814, -7.2189007, -8.013555, -6.57306, -8.742885, -8.157901, -7.237961, -4.8383846, -13.01663, -10.2776375, -10.953175, -12.934338, -7.7555594, -7.9596233, -10.93567, -7.173267, -9.769255, -5.656716, -7.4817505, -11.891013, -7.5529404, -7.6416874, -10.573967, -10.395733, -13.734127, -8.002852, -5.942933, -9.384117, -15.414442, -12.817076, -9.493732, -8.266084, -13.160574, -20.99389, -17.015207, -11.985899, -10.397524, -13.393918, -13.523121, -11.866897, -15.17793, -13.233187, -10.308658, -11.859715, -14.030458, -15.043206, -9.6975975, -9.501454, -12.258824, -8.762824, -13.16141, -10.766559, -10.646089, -7.468262, -11.779265, -12.140322, -11.920673, -14.043482, -21.470108, -11.985635, -11.788435, -10.384119, -8.868302, -14.594827, -11.085401, -6.79063, -14.651271, -12.97971, -12.67672, -17.982521, -17.238739, -14.418318, -17.585615, -18.726118, -18.843271, -6.6081467, -7.626485, -13.987931, -10.902649, -12.861263, -14.034375, -14.496783, -15.058595, -17.159224, -16.058722, -14.383958, -10.7580805, -11.117105, -12.542068, -14.261629, -10.324567, -0.90438366, -3.7262762, -15.019245, -12.026977, -13.8520975, -16.168142, -14.307558, -18.032335, -15.187003, -18.707117, -12.933962, -15.991093, -14.346797
1431785188.671000, /muse/elements/raw_fft3, 2.38269, 5.707299, 5.346343, 4.731352, 3.3416724, 2.5721278, -6.5443993, -10.874235, -7.479143, 0.38526163, 2.312037, 0.16327228, -0.88829434, -5.164803, -5.4878125, -5.3359447, -3.2465103, -8.029078, -5.7739024, -3.9641938, -6.5681705, -8.7300825, -7.5028095, -7.0765443, -8.932302, -5.994019, -3.013385, -6.1229033, -5.932272, -3.7668643, -3.327563, -4.733804, -4.726637, -6.983548, -3.2680595, -2.5332544, -2.661761, -9.265266, -16.129333, -5.2474246, -2.4807003, -0.726596, -2.2921906, -5.2760787, -6.0461097, -0.63785416, -0.8972817, -4.1969094, -5.892599, -6.3637624, -6.896793, -6.202502, -8.222318, -10.522509, -4.922025, -0.3818573, 0.28360292, -1.9632982, -9.072106, -4.0747967, 0.06601084, 0.34968963, -1.5218003, -8.218764, -10.218478, -6.8571963, -3.2348804, -4.790395, -6.2689757, -6.526655, -4.9823437, -7.4824243, -7.177488, -6.578893, -8.350388, -7.298598, -12.981669, -9.243767, -7.8477654, -6.2652674, -7.2219305, -8.942373, -11.107716, -8.345442, -12.640874, -14.731451, -10.328903, -6.88752, -9.774744, -7.0701113, -6.7105637, -9.881315, -8.972634, -10.834971, -12.794898, -8.666063, -5.03785, -10.782826, -16.33773, -13.259277, -11.855781, -6.451669, -8.656204, -17.242323, -10.272219, -9.153327, -15.104091, -13.610679, -13.780412, -15.328478, -15.280458, -18.14528, -15.441663, -10.949011, -12.50707, -9.012209, -1.4739387, -2.439129, -8.597219, -15.467421, -18.786469, -17.910948, -15.118159, -21.454159, -22.680637, -23.52156, -18.578203, -23.045454, -24.448992
1431785188.671000, /muse/elements/low_freqs_absolute, 0.4054206, 0.712542, 0.64324784, 1.0689557
1431785188.671000, /muse/elements/alpha_absolute, 0.51995957, 0.41278845, 0.22592646, 0.9028498
1431785188.671000, /muse/elements/beta_absolute, 0.7678992, -0.1926709, 0.49234247, 0.754772
1431785188.671000, /muse/elements/delta_absolute, 0.09589286, 0.5448941, 0.4755177, 0.9222774
1431785188.671000, /muse/elements/gamma_absolute, 0.51526415, -0.49721012, 0.37822857, 0.84391314
1431785188.671000, /muse/elements/theta_absolute, 0.11272526, 0.21802497, 0.14890535, 0.52626014
1431785188.671000, /muse/elements/alpha_session_score, 0.4893617, 1.0, 0.0, 1.0
1431785188.671000, /muse/elements/beta_session_score, 0.9655172, 0.041666668, 1.0, 0.7586207
