1431780525.090000, /muse/elements/raw_fft1, 2.3800747, 8.027993, 4.0808997, 3.384391, 5.22848, 2.1223605, -2.8834453, -0.8997896, -1.2770437, -6.3284545, -11.85737, -6.760105, -7.873596, -11.357796, -10.740577, -12.345593, -10.807786, -11.714948, -12.962646, -14.222929, -14.016757, -14.7006035, -16.925833, -19.411615, -14.370286, -10.583669, -15.981442, -17.313332, -12.735634, -12.052044, -15.732463, -17.694382, -12.758915, -13.579345, -12.707172, -14.188626, -13.21655, -12.575463, -12.018387, -16.293627, -18.335257, -17.943014, -16.955414, -16.954903, -16.304287, -14.397488, -17.014277, -19.022215, -22.32969, -18.505518, -13.176801, -15.369223, -20.761091, -14.877895, -13.424004, -18.77581, -16.36347, -18.78066, -17.605194, -16.139393, -17.818037, -17.08857, -15.00359, -14.552215, -17.551826, -20.22864, -18.878538, -19.002188, -23.979725, -28.87064, -27.451828, -25.331707, -24.871761, -29.681934, -28.177715, -22.06943, -25.578516, -23.074394, -18.495424, -17.590876, -23.906204, -15.669992, -15.938685, -15.6025505, -15.193082, -14.251701, -12.940426, -14.6351385, -16.887901, -21.804005, -18.634102, -18.113064, -17.881697, -21.17543, -17.164997, -19.579811, -23.074392, -17.231491, -12.189325, -11.428005, -16.402468, -15.222615, -14.304226, -12.161076, -13.960166, -20.365782, -23.071619, -19.049177, -14.880313, -22.780472, -20.572588, -18.91125, -22.601444, -15.287467, -15.988076, -19.534983, -25.89247, -23.962498, -20.514738, -21.038788, -19.587057, -19.521526, -21.794842, -21.48122, -22.111856, -26.80602, -26.040968, -22.460218, -24.09093
1431780525.090000, /muse/elements/raw_fft2, 4.821557, 5.6057124, 7.593273, 9.195045, 6.8898587, 6.642331, 4.819104, -1.4083744, -2.8675199, -0.98580134, -2.5261402, -7.4953604, -5.8275332, -5.6446767, -9.638735, -13.441433, -10.916912, -7.424109, -7.51313, -5.88153, -6.303534, -8.836616, -5.846488, -7.146914, -8.392288, -8.758861, -8.415936, -10.377262, -16.99537, -14.151899, -16.249744, -12.455969, -11.58908, -13.989077, -14.872158, -13.5221815, -13.187564, -11.36409, -11.490041, -17.26112, -17.977472, -12.92155, -12.66372, -13.611586, -13.693291, -16.432316, -11.410893, -10.668325, -10.670101, -12.470357, -15.922435, -15.967664, -14.138238, -9.736173, -7.3842797, -11.659918, -9.502265, -11.472421, -17.992325, -16.693842, -16.887047, -13.899019, -13.097264, -13.249501, -12.709117, -12.70548, -12.703254, -13.901325, -18.824923, -23.971228, -29.944456, -23.0943, -20.540846, -21.9336, -15.6774025, -12.651407, -12.493938, -12.010681, -12.435222, -9.334037, -10.299818, -11.618554, -11.316889, -10.422704, -9.46192, -8.940185, -6.8131614, -10.786478, -9.576573, -7.7085896, -8.168476, -9.593847, -9.305578, -11.446957, -14.567232, -14.785219, -13.612923, -16.723879, -12.215189, -10.724081, -9.443092, -11.756668, -10.415139, -9.8717785, -11.036802, -11.363215, -15.941163, -16.812881, -12.491951, -14.785716, -14.429012, -14.241124, -16.48077, -14.7085, -14.224801, -13.786643, -20.823996, -23.309523, -21.269466, -23.515173, -19.15059, -14.740398, -13.348545, -15.401948, -17.908386, -18.131111, -25.22561, -19.037807, -15.625883
1431780525.090000, /muse/elements/raw_fft3, 12.635821, 16.551937, 16.686451, 14.151097, 14.25016, 13.074588, 10.324209, 9.17864, 6.8111596, 7.6572533, 5.60186, 4.2755985, 5.5627956, 3.7457407, 2.1915162, 0.29828164, 0.41533107, -1.4463927, -3.1907365, -2.0601468, -2.5576894, 2.06467, -3.356299, -2.7391338, -1.8658217, -4.6249347, -3.8109548, 0.26912174, 1.8325374, -4.587732, -5.2714505, -0.7449279, 0.7056298, -2.7227545, -1.8646749, -4.2791057, -7.462457, -8.211187, -7.9433103, -2.5610414, -7.381395, -5.685645, -0.6334842, -3.4039252, -0.37162668, 1.9209373, 1.4084353, -1.6357418, -3.9239523, -7.0211496, -5.5624228, -2.2696624, -8.598228, -1.0696503, 2.3568556, -2.895458, -2.1336489, -3.038556, 5.783031, 1.9633691, -1.2600747, -4.5100627, -4.9085355, -5.3494787, -7.023058, -10.070438, -10.984615, -15.077736, -14.944067, -17.356857, -25.608202, -15.369607, -10.65627, -12.155285, -8.616306, -7.850827, -3.8658116, -7.041197, -8.235267, -8.861522, -8.543527, -2.9872906, 0.72458696, 2.0450225, 2.7170825, -1.5570034, -5.027618, -6.661492, -9.775218, -5.080836, -5.7426267, -6.544195, -1.5333971, -7.86931, -9.61036, -12.373924, -9.026029, -7.9253235, -7.4680667, -3.793044, -2.7113986, -4.578114, -2.4100127, -6.056193, -3.9446437, -3.7670689, -8.493752, -9.613971, -10.386366, -2.8203766, -4.3610654, -6.569897, -6.9047303, -11.178094, -7.481207, -5.180519, -6.7094674, -6.1740627, -12.579831, -18.232094, -9.859255, -11.545211, -12.878548, -10.688949, -14.864964, -11.599017, -11.56105, -13.393743, -17.979044
1431780525.090000, /muse/elements/low_freqs_absolute, 1.442215, 0.99195963, 1.3635155, 1.2217405
1431780525.090000, /muse/elements/alpha_absolute, 0.7541046, 0.25642186, 0.43730748, 1.1906639
1431780525.091000, /muse/elements/beta_absolute, 0.93394333, -0.10237453, 0.37591848, 1.1768253
1431780525.091000, /muse/elements/delta_absolute, 1.1990066, 0.8313251, 1.2080345, 0.9812952
1431780525.091000, /muse/elements/gamma_absolute, 0.80532366, -0.34461486, -0.07978837, 1.1431221
1431780525.091000, /muse/elements/theta_absolute, 1.0744653, 0.48216987, 0.84198487, 0.8502825
1431780525.091000, /muse/elements/alpha_session_score, 0.390625, 0.39285713, 0.14814815, 1.0
1431780525.091000, /muse/elements/beta_session_score, 0.21568628, 0.057692308, 0.31060606, 0.7380952
1431780525.091000, /muse/elements/delta_session_score, 0.6896552, 0.432, 0.3909091, 0.3030303
1431780525.091000, /muse/elements/gamma_session_score, 0.21052632, 0.30107528, 0.08, 0.7777778
1431780525.091000, /muse/elements/theta_session_score, 0.85294116, 0.44705883, 0.41463414, 0.54545456
1431780525.091000, /muse/eeg, 868.5496, 817.55524, 865.25964, 853.7448
1431780525.091000, /muse/eeg, 876.77454, 825.78015, 863.6147, 858.67975
1431780525.091000, /muse/eeg, 860.3247, 822.4902, 861.9697, 843.87494
1431780525.091000, /muse/eeg, 847.16486, 817.55524, 863.6147, 829.07007
1431780525.091000, /muse/eeg, 835.65, 812.6203, 863.6147, 819.2002
