1431780369.390000, /muse/elements/raw_fft2, -9.842185, -4.5550604, -1.3846974, -1.8003956, -2.9045467, -6.819319, -8.255885, -11.751284, -13.61181, -7.5615993, -8.367597, -9.095169, -7.766108, -7.0168605, -8.293042, -2.1798108, -2.7099504, -5.711221, -3.990107, -5.767941, -8.8386, -10.465591, -8.674524, -10.544925, -9.390026, -5.001771, -2.4780056, -4.002003, -0.86637706, -0.65553355, -1.6707814, -5.5841126, -1.2117648, -7.136497, -6.656057, -1.1728376, -0.38832954, -7.2859983, -8.89053, -10.96288, -8.619644, -10.645411, -4.948069, -4.5519595, -4.1557713, -1.7696196, -4.6862674, -6.484466, -6.211475, -11.54051, -5.9400606, -3.514045, -9.454517, -0.9987538, 4.774619, -1.1900173, -5.286635, -2.7465913, 2.4993021, -3.6757548, -1.8794352, -4.7457795, -9.315079, -2.8673117, -2.1395864, -8.557537, -14.677095, -13.779868, -16.241554, -25.387295, -24.177036, -17.476706, -12.316113, -9.58377, -5.3413105, -5.6581597, -3.6759207, -5.6778626, -6.1417685, -1.7448463, -0.74964684, -9.064851, -6.508877, -8.631867, -8.700422, 1.8729099, 3.295012, -5.316198, -3.7921176, -4.847208, -3.1763647, -2.7316885, -4.0062127, -9.143994, -10.778276, -3.198905, -0.80629313, -4.9440656, -3.8881779, -2.3593462, -7.434127, -6.6621275, -5.4600863, -5.6475224, -6.4766374, -6.4203973, -1.6985917, -4.987489, -5.1096883, -5.568837, -8.007726, -3.6006286, -5.0264277, -13.410982, -7.8349833, -4.778712, -3.7573743, -5.9680643, -9.799442, -7.319225, -7.330213, -11.458096, -11.578462, -6.9648714, -6.363214, -15.149817, -14.127621, -14.137243, -15.617092
1431780369.391000, /muse/elements/raw_fft3, -6.978913, -6.2021422, -1.4382775, -3.6234233, -2.92781, -0.6653343, 1.6120871, 4.137439, 1.1455488, -0.7014619, 2.0310297, -1.4920745, -0.12943932, -2.8278515, -3.282718, 1.7305492, 2.2824159, 0.06766765, -0.79034185, 1.7311158, -3.026901, -3.885742, -0.22947143, 0.046485923, -1.7970272, -0.080382064, 0.11949376, -0.4175333, -9.081527, -3.4008136, -3.815139, -1.8403296, -3.7175274, -10.316743, -7.473582, -1.3455787, -0.96917224, -4.853416, -2.492671, -2.2769892, -5.2694025, -6.289379, -3.802385, -3.2448409, -2.4721184, -4.3434453, -7.19958, -6.011424, -6.3181562, -12.154775, -7.5733104, -4.600739, -8.75765, -3.9391618, -0.87934697, -3.0585132, -12.148693, -10.788208, -2.565799, -5.8235726, -11.221071, -6.8225117, -8.765156, -4.416708, -4.316889, -12.001072, -18.597363, -15.780833, -15.232828, -18.608536, -21.869493, -17.556173, -20.782064, -11.841286, -7.417427, -11.9036255, -8.236041, -6.358378, -8.758565, -7.0622387, -8.827247, -13.248573, -14.091365, -11.832889, -10.988709, -3.5838957, -4.189394, -14.183551, -10.8069935, -10.333348, -9.786465, -10.814151, -10.560348, -13.366298, -12.273094, -8.78233, -8.795715, -7.06934, -7.85838, -5.9255176, -6.1266017, -5.6626816, -13.806793, -7.600853, -5.9514976, -12.106147, -9.433554, -7.801659, -10.232108, -11.565484, -10.728408, -15.037222, -17.987017, -15.435102, -13.319906, -7.7813087, -9.079529, -11.479801, -14.632395, -18.21001, -10.11422, -10.115568, -19.33537, -17.364668, -19.230377, -17.878462, -14.763044, -14.453593, -18.366302
1431780369.391000, /muse/elements/low_freqs_absolute, 0.71900254, -0.006805056, 0.41544124, 0.8683698
1431780369.391000, /muse/elements/alpha_absolute, 0.9111842, -0.119646885, 0.43779597, 0.99748665
1431780369.391000, /muse/elements/beta_absolute, 1.0226573, -0.35778505, 0.85348684, 1.1986372
1431780369.391000, /muse/elements/delta_absolute, 0.22830607, -0.4664317, 0.2728874, 0.2233342
1431780369.391000, /muse/elements/gamma_absolute, 0.7777183, -0.8515822, 0.7867284, 0.8223909
1431780369.391000, /muse/elements/theta_absolute, 0.549543, -0.19191518, -0.13769314, 0.75686055
1431780369.391000, /muse/elements/alpha_session_score, 0.62025315, 0.07692308, 0.0, 0.3898305
1431780369.391000, /muse/elements/beta_session_score, 0.51282054, 0.0, 0.675, 0.5681818
