1431801784.891000, /muse/elements/raw_fft3, 1.3942677, 7.763222, 7.4075017, -1.3629078, -5.754009, -5.4520764, -4.9877467, -2.1687925, -3.7978613, -5.5338483, -5.8917637, -5.6630635, -4.864407, -9.692158, -3.8238337, -2.9126928, -1.6909363, -0.6600279, -1.8210409, -1.9084586, -5.896436, -14.439317, -14.201416, -5.666738, -3.381973, -0.9674244, -4.729928, -7.77763, -8.491418, -9.754433, -10.998831, -5.7870383, -5.229832, -6.0109234, -13.020565, -8.597606, -8.86112, -10.210202, -6.4880705, -4.1781673, -9.794957, -8.6637745, -12.007056, -11.581226, -10.339076, -9.7129135, -8.635515, -6.609301, -7.5168405, -9.785963, -8.903929, -8.103056, -13.170403, -9.538345, -12.14314, -16.337086, -20.853657, -22.984646, -25.866552, -20.563942, -20.155926, -24.013186, -13.693814, -11.436492, -12.41289, -16.112862, -15.445265, -12.226937, -9.7301, -9.226817, -11.098388, -9.104493, -9.369206, -8.224494, -11.07907, -14.115845, -11.64881, -8.634654, -10.644253, -14.816268, -14.595535, -10.385332, -16.570602, -14.992831, -15.585832, -9.818679, -11.393751, -15.412178, -16.463371, -16.372377, -8.915245, -9.248616, -16.830547, -12.353618, -15.840379, -12.868712, -12.265003, -12.844607, -11.062845, -13.382832, -14.248938, -14.91941, -12.4981575, -12.737857, -10.56653, -15.881277, -11.694819, -8.285284, -7.95481, -8.7384615, -15.418782, -17.181559, -13.628287, -15.291309, -23.2883, -19.563932, -11.765593, -12.138243, -12.827775, -19.477785, -21.333183, -17.733294, -17.368923, -21.863506, -23.112505, -17.221844, -21.425121, -20.254423, -17.205187
1431801784.891000, /muse/elements/low_freqs_absolute, 1.288985, 0.2128357, 1.5549759, 0.9424873
1431801784.891000, /muse/elements/alpha_absolute, 1.2246687, 0.11174151, 0.38102758, 0.7661489
1431801784.891000, /muse/elements/beta_absolute, 0.9360539, -0.11733228, 0.24491203, 0.7661947
1431801784.891000, /muse/elements/delta_absolute, 1.0527611, 0.03096059, 1.5081962, 0.8014621
1431801784.891000, /muse/elements/gamma_absolute, 0.82276994, -0.19090895, 0.24918064, 0.41588536
1431801784.891000, /muse/elements/theta_absolute, 0.9117532, -0.2529439, 0.5640688, 0.38539344
1431801784.891000, /muse/elements/alpha_session_score, 0.9764706, 0.5375, 0.6666667, 0.5925926
1431801784.891000, /muse/elements/beta_session_score, 0.6351351, 0.39473686, 0.5, 0.45882353
1431801784.891000, /muse/elements/delta_session_score, 0.62903225, 0.2, 0.852349, 0.44852942
1431801784.891000, /muse/elements/gamma_session_score, 0.7586207, 0.6764706, 0.5740741, 0.2857143
1431801784.891000, /muse/elements/theta_session_score, 0.76859504, 0.1595092, 0.5693431, 0.3508772
1431801784.891000, /muse/eeg, 845.5199, 809.3303, 843.87494, 845.5199
1431801784.891000, /muse/eeg, 835.65, 809.3303, 855.3898, 838.94
1431801784.891000, /muse/eeg, 837.295, 810.9753, 847.16486, 845.5199
1431801784.891000, /muse/eeg, 847.16486, 809.3303, 850.45483, 843.87494
1431801784.892000, /muse/eeg, 861.9697, 809.3303, 850.45483, 842.2299
1431801784.892000, /muse/eeg, 865.25964, 812.6203, 838.94, 857.0347
1431801784.892000, /muse/eeg, 866.90466, 814.26526, 852.0998, 850.45483
1431801784.892000, /muse/eeg, 858.67975, 817.55524, 857.0347, 850.45483
1431801784.892000, /muse/eeg, 857.0347, 819.2002, 855.3898, 842.2299
1431801784.892000, /muse/eeg, 852.0998, 819.2002, 853.7448, 847.16486
1431801784.892000, /muse/eeg, 857.0347, 815.9103, 837.295, 852.0998
1431801784.892000, /muse/eeg, 852.0998, 814.26526, 852.0998, 850.45483
1431801784.892000, /muse/eeg, 845.5199, 815.9103, 845.5199, 848.8099
1431801784.892000, /muse/eeg, 845.5199, 815.9103, 847.16486, 845.5199
1431801784.908000, /muse/acc, -58.59384, 1011.72034, 27.343792
1431801784.908000, /muse/drlref, 1645161.2, 1654838.8
1431801784.924000, /muse/acc, -62.5001, 1007.8141, 31.25005
1431801784.944000, /muse/acc, -66.40636, 1011.72034, 31.25005
1431801784.970000, /muse/acc, -66.40636, 1007.8141, 35.156303
